"","Yr","Mn","station","CO2_concentration","hemisphere"
"266",1963,"Feb","nzd",NA,"southern"
"267",1963,"Mar","alt",NA,"northern"
"268",1963,"Mar","mlo",320.1,"northern"
"269",1963,"Mar","kum",NA,"northern"
"270",1963,"Mar","chr",NA,"northern"
"271",1963,"Mar","sam",NA,"southern"
"272",1963,"Mar","ker",NA,"southern"
"273",1963,"Mar","nzd",NA,"southern"
"274",1963,"Apr","alt",NA,"northern"
"275",1963,"Apr","mlo",321.27,"northern"
"276",1963,"Apr","kum",NA,"northern"
"277",1963,"Apr","chr",NA,"northern"
"278",1963,"Apr","sam",NA,"southern"
"279",1963,"Apr","ker",NA,"southern"
"280",1963,"Apr","nzd",NA,"southern"
"281",1963,"May","alt",NA,"northern"
"282",1963,"May","mlo",321.78,"northern"
"283",1963,"May","kum",NA,"northern"
"284",1963,"May","chr",NA,"northern"
"285",1963,"May","sam",NA,"southern"
"286",1963,"May","ker",NA,"southern"
"287",1963,"May","nzd",NA,"southern"
"288",1963,"Jun","alt",NA,"northern"
"289",1963,"Jun","mlo",321.02,"northern"
"290",1963,"Jun","kum",NA,"northern"
"291",1963,"Jun","chr",NA,"northern"
"292",1963,"Jun","sam",NA,"southern"
"293",1963,"Jun","ker",NA,"southern"
"294",1963,"Jun","nzd",NA,"southern"
"295",1963,"Jul","alt",NA,"northern"
"296",1963,"Jul","mlo",319.43,"northern"
"297",1963,"Jul","kum",NA,"northern"
"298",1963,"Jul","chr",NA,"northern"
"299",1963,"Jul","sam",NA,"southern"
"300",1963,"Jul","ker",NA,"southern"
"301",1963,"Jul","nzd",NA,"southern"
"302",1963,"Aug","alt",NA,"northern"
"303",1963,"Aug","mlo",317.39,"northern"
"304",1963,"Aug","kum",NA,"northern"
"305",1963,"Aug","chr",NA,"northern"
"306",1963,"Aug","sam",NA,"southern"
"307",1963,"Aug","ker",NA,"southern"
"308",1963,"Aug","nzd",NA,"southern"
"309",1963,"Sep","alt",NA,"northern"
"310",1963,"Sep","mlo",316.42,"northern"
"311",1963,"Sep","kum",NA,"northern"
"312",1963,"Sep","chr",NA,"northern"
"313",1963,"Sep","sam",NA,"southern"
"314",1963,"Sep","ker",NA,"southern"
"315",1963,"Sep","nzd",NA,"southern"
"316",1963,"Oct","alt",NA,"northern"
"317",1963,"Oct","mlo",316.06,"northern"
"318",1963,"Oct","kum",NA,"northern"
"319",1963,"Oct","chr",NA,"northern"
"320",1963,"Oct","sam",NA,"southern"
"321",1963,"Oct","ker",NA,"southern"
"322",1963,"Oct","nzd",NA,"southern"
"323",1963,"Nov","alt",NA,"northern"
"324",1963,"Nov","mlo",317.35,"northern"
"325",1963,"Nov","kum",NA,"northern"
"326",1963,"Nov","chr",NA,"northern"
"327",1963,"Nov","sam",NA,"southern"
"328",1963,"Nov","ker",NA,"southern"
"329",1963,"Nov","nzd",NA,"southern"
"330",1963,"Dec","alt",NA,"northern"
"331",1963,"Dec","mlo",318.52,"northern"
"332",1963,"Dec","kum",NA,"northern"
"333",1963,"Dec","chr",NA,"northern"
"334",1963,"Dec","sam",NA,"southern"
"335",1963,"Dec","ker",NA,"southern"
"336",1963,"Dec","nzd",NA,"southern"
"337",1964,"Jan","alt",NA,"northern"
"338",1964,"Jan","mlo",319.32,"northern"
"339",1964,"Jan","kum",NA,"northern"
"340",1964,"Jan","chr",NA,"northern"
"341",1964,"Jan","sam",NA,"southern"
"342",1964,"Jan","ker",NA,"southern"
"343",1964,"Jan","nzd",NA,"southern"
"344",1964,"Feb","alt",NA,"northern"
"345",1964,"Feb","mlo",319.93,"northern"
"346",1964,"Feb","kum",NA,"northern"
"347",1964,"Feb","chr",NA,"northern"
"348",1964,"Feb","sam",NA,"southern"
"349",1964,"Feb","ker",NA,"southern"
"350",1964,"Feb","nzd",NA,"southern"
"351",1964,"Mar","alt",NA,"northern"
"352",1964,"Mar","mlo",320.72,"northern"
"353",1964,"Mar","kum",NA,"northern"
"354",1964,"Mar","chr",NA,"northern"
"355",1964,"Mar","sam",NA,"southern"
"356",1964,"Mar","ker",NA,"southern"
"357",1964,"Mar","nzd",NA,"southern"
"358",1964,"Apr","alt",NA,"northern"
"359",1964,"Apr","mlo",321.87,"northern"
"360",1964,"Apr","kum",NA,"northern"
"361",1964,"Apr","chr",NA,"northern"
"362",1964,"Apr","sam",NA,"southern"
