"","Yr","station","CO2_concentration_ratio"
"367",2012,"kum",1.00572077763503
"368",2012,"chr",1.00647103662079
"369",2012,"sam",1.00607074577226
"370",2012,"ker",1.00300757663167
"371",2012,"nzd",1.00442455067184
"372",2013,"alt",1.00640850047074
"373",2013,"mlo",1.00746903238907
"374",2013,"kum",1.00684108621247
"375",2013,"chr",1.00814548594796
"376",2013,"sam",1.00769417207392
"377",2013,"ker",1.00624763540804
"378",2013,"nzd",1.00705664993029
"379",2014,"alt",1.0103187836527
"380",2014,"mlo",1.00537075646202
"381",2014,"kum",1.00498480651108
"382",2014,"chr",1.00287965897582
"383",2014,"sam",1.00445171158816
"384",2014,"ker",1.004885273555
"385",2014,"nzd",1.00543482876945
"386",2015,"alt",1.00182481751825
"387",2015,"mlo",1.00522093972738
"388",2015,"kum",1.0055422702441
"389",2015,"chr",1.0066546920729
"390",2015,"sam",1.00517974731403
"391",2015,"ker",1.00790029199479
"392",2015,"nzd",1.00669498747105
"393",2016,"alt",1.00542098045796
"394",2016,"mlo",1.00749364795436
"395",2016,"kum",1.00763879954014
"396",2016,"chr",NA
"397",2016,"sam",1.00763972909888
"398",2016,"ker",1.00649643824621
"399",2016,"nzd",1.00794002436888
"400",2017,"alt",1.00858930591238
"401",2017,"mlo",1.00622953388817
"402",2017,"kum",1.0061928112315
"403",2017,"chr",NA
"404",2017,"sam",1.00611261440532
"405",2017,"ker",NA
"406",2017,"nzd",1.00518504827889
"407",2018,"alt",1.00462270703109
"408",2018,"mlo",1.00491834522275
"409",2018,"kum",1.00482428311194
"410",2018,"chr",NA
"411",2018,"sam",1.00632469503626
"412",2018,"ker",NA
"413",2018,"nzd",1.00539683644008
"414",2019,"alt",1.00467500567947
"415",2019,"mlo",1.00719254275862
"416",2019,"kum",1.00590330315727
"417",2019,"chr",1.00918421414133
"418",2019,"sam",1.00582397797728
"419",2019,"ker",1.00654855790897
"420",2019,"nzd",1.00596841558955
"421",2020,"alt",1.00925977033827
"422",2020,"mlo",1.00580486580171
"423",2020,"kum",1.00666006882083
"424",2020,"chr",1.00396208070005
"425",2020,"sam",1.00646470619859
"426",2020,"ker",1.00492843451373
"427",2020,"nzd",1.00712627420977
"428",2021,"alt",1.01114772050039
"429",2021,"mlo",1.00657255069319
"430",2021,"kum",1.00661618864083
"431",2021,"chr",NA
"432",2021,"sam",1.00377245109167
"433",2021,"ker",NA
"434",2021,"nzd",1.00199852245245
